% Parse By Nerea.P and Jdihadi.A 
%
@RELATION mysteriousx2

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1,2}

@DATA
845753,636607,0
812954,643720,0
868217,609046,0
920248,607272,0
841621,639394,0
843907,598777,0
817712,620917,0
865980,632292,0
876539,639944,0
805247,642901,0
829227,565484,0
834679,669557,0
851242,630615,0
890325,702688,0
832159,638667,0
833736,637738,0
778784,571492,0
844489,672382,0
825802,638894,0
875471,622426,0
879225,639387,0
819482,633447,0
818212,633262,0
839324,651033,0
817439,678071,0
876202,600942,0
841025,623927,0
850781,619234,0
754610,657392,0
842733,640979,0
881538,613492,0
804685,671123,0
877083,575129,0
847312,655073,0
827558,623170,0
896258,707205,0
829939,644422,0
880719,597439,0
828313,669762,0
778978,589645,0
832323,624353,0
838906,655174,0
913673,576755,0
875535,587227,0
797487,625675,0
893942,596033,0
770410,662419,0
814804,605047,0
832215,638387,0
840280,643770,0
833327,621905,0
763542,635170,0
825599,608689,0
813209,683512,0
938544,680392,0
834393,656902,0
787129,643393,0
801229,617139,0
886144,566002,0
865073,661021,0
796962,632416,0
822877,612926,0
835985,639514,0
908901,628142,0
807989,610817,0
823816,651852,0
818245,618659,0
827601,640196,0
846830,641704,0
829041,623258,0
858850,714281,0
835967,564514,0
835698,660461,0
843223,632872,0
880916,697241,0
813541,641007,0
913911,586519,0
707529,693451,0
846436,659041,0
865316,690133,0
842837,647272,0
856101,601665,0
822815,616988,0
823364,620870,0
817697,617678,0
822368,648690,0
855476,711703,0
818065,675114,0
843822,686283,0
834396,637625,0
802367,626026,0
774481,694664,0
805075,559992,0
828813,622656,0
841088,641913,0
736868,591803,0
812519,658809,0
847097,610257,0
880136,670834,0
871566,663124,0
835178,647851,0
801113,631728,0
836302,641336,0
865563,600752,0
856184,670732,0
930906,675380,0
787684,612023,0
879210,671905,0
940080,668730,0
812951,619690,0
782647,635710,0
834146,634536,0
825334,626399,0
827880,657944,0
806472,625818,0
813142,634900,0
834478,637224,0
859522,666389,0
812822,650842,0
927475,652500,0
830057,593423,0
852554,687005,0
755212,616702,0
825515,636212,0
841978,583774,0
828956,617518,0
851077,623381,0
847787,616365,0
781111,594759,0
793474,650770,0
849922,659848,0
857555,592525,0
851042,620360,0
801896,668379,0
798422,689889,0
802904,649859,0
833844,679629,0
844117,650340,0
750522,621023,0
835324,635252,0
805810,620656,0
826540,709657,0
821335,650998,0
844114,619755,0
799854,605921,0
835851,659073,0
850049,594729,0
901514,652113,0
826740,617100,0
864116,598962,0
830754,656445,0
816172,642632,0
875320,588946,0
836090,553666,0
944095,704540,0
834141,639092,0
858997,628120,0
819923,617399,0
812780,635276,0
808308,627973,0
868777,586944,0
848355,652762,0
853192,621237,0
769703,672760,0
983609,624193,0
767435,659742,0
795478,653018,0
867257,713816,0
822799,582231,0
795493,623079,0
894097,564130,0
836258,638770,0
725411,693316,0
824187,721313,0
835113,638129,0
874788,594226,0
811045,640408,0
806425,629019,0
817577,599782,0
829553,641233,0
780758,698302,0
835775,635385,0
836176,639066,0
814374,659984,0
787165,670018,0
765298,632123,0
814905,686125,0
830536,651952,0
837750,634132,0
819893,646919,0
803133,663437,0
893841,718071,0
869331,617053,0
847430,623157,0
810547,597362,0
887955,652980,0
856277,650393,0
945668,662295,0
910884,606259,0
823954,581126,0
780635,613287,0
827314,657722,0
874290,682154,0
801009,632553,0
758093,635151,0
834477,615434,0
778438,668842,0
851028,601248,0
847403,680628,0
809226,590160,0
847930,639549,0
831541,638580,0
818121,643361,0
880168,671935,0
815109,645044,0
765957,654001,0
917544,625573,0
783878,625178,0
889986,596630,0
786184,663836,0
918549,595580,0
873325,661718,0
836224,622436,0
881118,595784,0
854502,597915,0
877342,656313,0
849343,644126,0
796153,621598,0
806313,641996,0
847671,637692,0
869123,660870,0
848927,645583,0
800992,654397,0
877837,634860,0
836202,600653,0
803719,688801,0
