% Parse By Nerea.P and Jdihadi.A 
%
@RELATION mysteriouszz2

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1,2}

@DATA
2128,2317,0
1794,2522,0
3087,2482,0
3174,2492,0
3408,2718,0
3195,2080,0
3030,2605,0
2097,2401,0
2125,2344,0
1784,2217,0
1790,2237,0
2101,2389,0
3177,2193,0
3160,2135,0
2179,2381,0
3216,2426,0
3223,2413,0
2071,2335,0
3300,2624,0
1864,2489,0
2166,2320,0
3210,2213,0
1952,2269,0
3262,2581,0
3182,2513,0
3270,2744,0
1786,2612,0
1751,2062,0
1869,2121,0
3077,2677,0
3212,2574,0
1923,2591,0
3271,2151,0
1799,2402,0
2128,2367,0
3189,2484,0
2105,2314,0
1877,1963,0
1920,2219,0
1892,2715,0
1817,2605,0
3221,2381,0
1728,2189,0
1953,2584,0
1924,2175,0
3215,2131,0
3282,2071,0
3256,2184,0
1782,2631,0
3083,2625,0
1888,2631,0
1660,2511,0
1797,2110,0
2084,2350,0
1815,2560,0
1884,2595,0
1986,2354,0
1872,2060,0
3175,2171,0
3151,2669,0
1697,2140,0
3100,2505,0
3196,2104,0
2052,2367,0
1829,2540,0
1823,2643,0
2053,2320,0
3320,2197,0
3272,2205,0
3146,2773,0
1913,2475,0
3254,2145,0
3128,2664,0
1894,2205,0
3203,2514,0
3209,2099,0
1876,2093,0
2065,2407,0
2113,2464,0
3235,2591,0
1865,2071,0
3174,2048,0
2101,2436,0
1770,2710,0
2054,2375,0
2086,2012,0
3288,2151,0
1842,2074,0
1807,1904,0
2092,2314,0
3235,2019,0
3141,2198,0
2065,2431,0
2171,2353,0
2166,2393,0
3229,2661,0
2103,2297,0
3256,2093,0
1816,2512,0
1790,2510,0
1921,2627,0
2124,2393,0
3244,2159,0
3170,2097,0
3259,2554,0
3126,2659,0
3193,2439,0
1908,2055,0
1792,2135,0
1869,2076,0
2157,2279,0
1651,2180,0
1861,2058,0
3288,2219,0
3270,2129,0
1940,2575,0
3206,2055,0
3143,2079,0
1827,2088,0
1816,2299,0
1996,2395,0
3353,2476,0
1917,2158,0
1850,2531,0
1929,2154,0
1983,2395,0
3219,2226,0
3373,2779,0
1962,2209,0
2105,2305,0
3200,2259,0
3178,2132,0
1878,2615,0
1907,2543,0
1991,2163,0
3306,2452,0
2200,2407,0
1796,2510,0
1884,2567,0
2073,2484,0
2097,2424,0
1883,2307,0
2046,2287,0
1854,2546,0
3408,2526,0
1982,2557,0
3234,2522,0
1953,2128,0
2046,2201,0
3259,2163,0
1944,2208,0
1967,2568,0
3189,2675,0
3185,2509,0
3423,2656,0
1729,2415,0
1737,2670,0
2017,2081,0
1772,2072,0
1762,2744,0
2188,2380,0
2029,2390,0
1869,2020,0
1858,2207,0
2116,2449,0
3278,2540,0
3252,2688,0
3259,2182,0
3168,2045,0
1970,2355,0
3002,2612,0
2186,2306,0
1919,2204,0
1799,2567,0
1804,2098,0
3150,2163,0
3184,2129,0
3251,2423,0
3295,2108,0
3264,2463,0
1882,2173,0
3137,2181,0
